2026-04-09 13:03:17 | ERROR    | app.services.dish_feature_service:create_batch_features:115 - Failed to create feature for dish test_dish_123: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:03:47 | ERROR    | app.services.dish_feature_service:create_dish_feature:104 - Failed to create dish feature: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:03:47 | ERROR    | app.services.dish_feature_service:create_batch_features:115 - Failed to create feature for dish test_dish_456: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:03:49 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:04:19 | ERROR    | app.services.dish_feature_service:create_dish_feature:104 - Failed to create dish feature: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 69d7324ec0750d0486615953, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:04:22 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:04:22 | ERROR    | app.services.data_cleaning_service:clean_user_behavior_data:43 - Failed to clean user behavior data: 'merchant_id'
2026-04-09 13:04:22 | ERROR    | app.services.data_cleaning_service:clean_dish_feature_data:78 - Failed to clean dish feature data: 'description'
2026-04-09 13:04:26 | WARNING  | app.services.data_quality_service:_update_quality_metrics_in_redis:239 - Failed to update Redis quality metrics: Error 10061 connecting to localhost:6379. 由于目标计算机积极拒绝，无法连接。.
2026-04-09 13:04:26 | INFO     | app.services.data_quality_service:calculate_data_quality_metrics:60 - Calculated data quality metrics for user_behavior: {'data_type': 'user_behavior', 'record_count': 3, 'timestamp': '2026-04-09T05:04:22.082482', 'completeness': 1.0, 'accuracy': 1.0, 'consistency': 1.0, 'timeliness': 0.9999999902584876, 'duplicate_count': 0, 'error_count': 0, 'field_statistics': {'user_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 2}, 'behavior_type': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'dish_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'timestamp': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1}, 'age_hours': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1, 'mean': 7.013888888888889e-07, 'min': 7.013888888888889e-07, 'max': 7.013888888888889e-07, 'std': 0.0}, 'timeliness_score': {'non_null_count': 3, 'null_count': 0, 'unique_count': 1, 'mean': 0.9999999902584876, 'min': 0.9999999902584876, 'max': 0.9999999902584876, 'std': 0.0}}}
2026-04-09 13:04:30 | WARNING  | app.services.data_quality_service:_update_quality_metrics_in_redis:239 - Failed to update Redis quality metrics: Error 10061 connecting to localhost:6379. 由于目标计算机积极拒绝，无法连接。.
2026-04-09 13:04:30 | INFO     | app.services.data_quality_service:calculate_data_quality_metrics:60 - Calculated data quality metrics for dish_feature: {'data_type': 'dish_feature', 'record_count': 3, 'timestamp': '2026-04-09T05:04:26.175404', 'completeness': 1.0, 'accuracy': 0.4444444444444444, 'consistency': 0.6666666666666666, 'timeliness': 1.0, 'duplicate_count': 0, 'error_count': 2, 'field_statistics': {'dish_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'merchant_id': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'name': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'non_empty_count': 3}, 'price': {'non_null_count': 3, 'null_count': 0, 'unique_count': 3, 'mean': 28.833333333333332, 'min': -10.0, 'max': 68.0, 'std': 39.00106836143509}, 'category': {'non_null_count': 3, 'null_count': 0, 'unique_count': 2, 'non_empty_count': 2}, 'sales_volume': {'non_null_count': 1, 'null_count': 2, 'unique_count': 1, 'mean': 100.0, 'min': 100.0, 'max': 100.0, 'std': nan}, 'rating': {'non_null_count': 2, 'null_count': 1, 'unique_count': 2, 'mean': 5.25, 'min': 4.5, 'max': 6.0, 'std': 1.0606601717798212}}}
2026-04-09 13:07:06 | WARNING  | app.core.database:<module>:22 - Redis connection failed: Error 10061 connecting to localhost:6379. 由于目标计算机积极拒绝，无法连接。.
2026-04-09 13:07:11 | WARNING  | app.core.database:<module>:33 - MongoDB connection failed: localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 69d733fa17e8c912b678ef1b, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]>
2026-04-09 13:07:13 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:16 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:18 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:18 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 4ee95cc0-5c2e-4417-b14f-ce821168593c
2026-04-09 13:07:20 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:20 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: e526db4b-57de-4f9b-8f51-3483c3c0858b
2026-04-09 13:07:20 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 6a9a149c-8f44-413a-bf4e-a74b6908d75f
2026-04-09 13:07:22 | WARNING  | app.services.user_behavior_service:__init__:23 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:22 | INFO     | app.services.user_behavior_service:collect_behavior:54 - Collected user behavior: 5faa18f8-8251-4c97-9640-91bb93f6b2fc
2026-04-09 13:07:22 | WARNING  | app.services.user_behavior_service:get_user_behaviors:99 - MongoDB not available, returning empty behavior list
2026-04-09 13:07:26 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:26 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: 4ae5ff94-497f-4325-b405-45cc9d1c1989
2026-04-09 13:07:28 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:28 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: 13bc35ba-b122-42c0-87ec-4ed65fe655b3
2026-04-09 13:07:28 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: 40546638-5761-41f6-8779-4e3fdabe298f
2026-04-09 13:07:30 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:30 | INFO     | app.services.dish_feature_service:create_dish_feature:102 - Created dish feature: 4bef0e17-8f46-470a-bb5f-e9ad373ce691
2026-04-09 13:07:30 | WARNING  | app.services.dish_feature_service:get_dish_feature:159 - MongoDB not available, cannot get dish feature
2026-04-09 13:07:30 | ERROR    | app.services.dish_feature_service:get_dish_feature:168 - Failed to get dish feature: MongoDB not available: test_dish_789
2026-04-09 13:07:32 | WARNING  | app.services.dish_feature_service:__init__:25 - Kafka连接失败，将跳过Kafka消息发送: NoBrokersAvailable
2026-04-09 13:07:32 | ERROR    | app.services.data_cleaning_service:clean_user_behavior_data:43 - Failed to clean user behavior data: 'merchant_id'
2026-04-09 13:07:32 | ERROR    | app.services.data_cleaning_service:clean_dish_feature_data:78 - Failed to clean dish feature data: 'description'
2026-04-09 13:07:32 | WARNING  | app.services.data_quality_service:_update_quality_metrics_in_redis:239 - Failed to update Redis quality metrics: 'NoneType' object has no attribute 'hset'
